Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
15964640,4/1/2016 0:17,4/1/2016 0:27,70029,630,1031,Maryland Ave & Ellsworth Ave,1040,Bigelow Blvd & Fifth Ave,
15964668,4/1/2016 0:25,4/1/2016 0:28,70367,138,1039,Atwood St & Bates St,1038,Boulevard of the Allies & Parkview Ave,
15964729,4/1/2016 0:41,4/1/2016 2:02,70048,4854,1006,Ross St & Sixth Ave (Steel Plaza T Station),1006,Ross St & Sixth Ave (Steel Plaza T Station),
15964732,4/1/2016 0:42,4/1/2016 2:01,70390,4755,1006,Ross St & Sixth Ave (Steel Plaza T Station),1006,Ross St & Sixth Ave (Steel Plaza T Station),
15964733,4/1/2016 0:42,4/1/2016 2:01,70171,4751,1006,Ross St & Sixth Ave (Steel Plaza T Station),1006,Ross St & Sixth Ave (Steel Plaza T Station),
15964735,4/1/2016 0:42,4/1/2016 2:02,70333,4787,1006,Ross St & Sixth Ave (Steel Plaza T Station),1006,Ross St & Sixth Ave (Steel Plaza T Station),
15965306,4/1/2016 1:46,4/1/2016 1:49,70412,178,1040,Bigelow Blvd & Fifth Ave,1035,Fifth Ave & S Dithridge St,
15965424,4/1/2016 1:56,4/1/2016 1:57,70412,106,1035,Fifth Ave & S Dithridge St,1035,Fifth Ave & S Dithridge St,
15968660,4/1/2016 6:24,4/1/2016 6:46,70403,1310,1025,Penn Ave & N Fairmount St,1001,Forbes Ave & Market Square,
15969573,4/1/2016 7:20,4/1/2016 7:25,70125,340,1029,Alder St & S Highland Ave,1028,Penn Ave & Putnam St (Bakery Square),
15969577,4/1/2016 7:20,4/1/2016 7:25,70427,323,1029,Alder St & S Highland Ave,1028,Penn Ave & Putnam St (Bakery Square),
15970137,4/1/2016 7:49,4/1/2016 7:55,70268,364,1038,Boulevard of the Allies & Parkview Ave,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),
15970203,4/1/2016 7:52,4/1/2016 8:18,70399,1544,1049,S 12th St & E Carson St,1015,Federal St & E North Ave,
15970233,4/1/2016 7:54,4/1/2016 8:09,70140,866,1039,Atwood St & Bates St,1024,S Negley Ave & Baum Blvd,
15970370,4/1/2016 8:01,4/1/2016 8:28,70215,1567,1026,Penn Ave & S Whitfield St,1000,Liberty Ave & Stanwix St,
15970802,4/1/2016 8:24,4/1/2016 8:50,70227,1594,1015,Federal St & E North Ave,1048,S 18th St & Sidney St,
15970930,4/1/2016 8:30,4/1/2016 8:37,70378,433,1034,Ellsworth Ave & N Neville St,1037,Frew St & Schenley Dr,
15970973,4/1/2016 8:32,4/1/2016 8:43,70240,605,1049,S 12th St & E Carson St,1003,First Ave & Smithfield St (Art Institute),
15971360,4/1/2016 8:50,4/1/2016 9:46,70329,3351,1007,Stevenson St & Forbes Ave,1050,Healthy Ride Hub,
15971511,4/1/2016 8:57,4/1/2016 9:14,70276,986,1023,Liberty Ave & Baum Blvd,1037,Frew St & Schenley Dr,
15971617,4/1/2016 9:02,4/1/2016 9:12,70153,621,1020,42nd & Penn Ave.,1026,Penn Ave & S Whitfield St,
15972606,4/1/2016 9:38,4/1/2016 9:52,70236,835,1014,Ridge Ave & Brighton Rd (CCAC),1010,10th St & Penn Ave (David L. Lawrence Convention Center),
15973047,4/1/2016 9:54,4/1/2016 9:59,70354,287,1025,Penn Ave & N Fairmount St,1026,Penn Ave & S Whitfield St,
15973121,4/1/2016 9:56,4/1/2016 12:53,70114,10612,1004,First Ave & B St (T Station),1001,Forbes Ave & Market Square,
15973148,4/1/2016 9:57,4/1/2016 12:53,70177,10576,1004,First Ave & B St (T Station),1001,Forbes Ave & Market Square,
15973161,4/1/2016 9:58,4/1/2016 12:53,70284,10520,1004,First Ave & B St (T Station),1001,Forbes Ave & Market Square,
15973369,4/1/2016 10:04,4/1/2016 10:09,70471,323,1038,Boulevard of the Allies & Parkview Ave,1037,Frew St & Schenley Dr,
15974245,4/1/2016 10:28,4/1/2016 10:32,70353,262,1050,Healthy Ride Hub,1018,37th St & Butler St,
15974409,4/1/2016 10:33,4/1/2016 10:50,70075,1040,1020,42nd & Penn Ave.,1013,Isabella St & Federal St (PNC Park),
15974552,4/1/2016 10:37,4/1/2016 11:35,70257,3495,1016,17th St & Penn Ave,1016,17th St & Penn Ave,
15974567,4/1/2016 10:37,4/1/2016 11:36,70148,3502,1016,17th St & Penn Ave,1016,17th St & Penn Ave,
15974661,4/1/2016 10:40,4/1/2016 10:44,70109,209,1025,Penn Ave & N Fairmount St,1026,Penn Ave & S Whitfield St,
15974672,4/1/2016 10:41,4/1/2016 10:54,70154,802,1045,S 27th St & Sidney St. (Southside Works),1043,Coltart Ave & Forbes Ave,
15974689,4/1/2016 10:41,4/1/2016 14:17,70467,12927,1045,S 27th St & Sidney St. (Southside Works),1029,Alder St & S Highland Ave,
15974765,4/1/2016 10:43,4/1/2016 10:52,70448,499,1001,Forbes Ave & Market Square,1009,12th St & Penn Ave,
15974784,4/1/2016 10:44,4/1/2016 10:54,70053,584,1005,Forbes Ave & Grant St,1017,21st St & Penn Ave,
15974840,4/1/2016 10:45,4/1/2016 10:47,70399,119,1015,Federal St & E North Ave,1015,Federal St & E North Ave,
15974898,4/1/2016 10:47,4/1/2016 10:53,70396,348,1044,Zulema St & Coltart Ave,1040,Bigelow Blvd & Fifth Ave,
15975053,4/1/2016 10:52,4/1/2016 11:30,70323,2283,1043,Coltart Ave & Forbes Ave,1040,Bigelow Blvd & Fifth Ave,
15975157,4/1/2016 10:54,4/1/2016 11:05,70126,617,1033,Ivy St & Walnut St   ,1037,Frew St & Schenley Dr,
15975665,4/1/2016 11:08,4/1/2016 11:18,70110,602,1040,Bigelow Blvd & Fifth Ave,1043,Coltart Ave & Forbes Ave,
15976215,4/1/2016 11:24,4/1/2016 11:44,70424,1239,1049,S 12th St & E Carson St,1017,21st St & Penn Ave,
15976502,4/1/2016 11:32,4/1/2016 12:11,70463,2363,1034,Ellsworth Ave & N Neville St,1037,Frew St & Schenley Dr,
15976754,4/1/2016 11:40,4/1/2016 11:46,70340,372,1035,Fifth Ave & S Dithridge St,1037,Frew St & Schenley Dr,
15976825,4/1/2016 11:42,4/1/2016 11:56,70070,838,1003,First Ave & Smithfield St (Art Institute),1047,S 22nd St & E Carson St,
15977015,4/1/2016 11:48,4/1/2016 12:03,70369,949,1028,Penn Ave & Putnam St (Bakery Square),1034,Ellsworth Ave & N Neville St,
15977029,4/1/2016 11:48,4/1/2016 11:49,70498,62,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,
15977118,4/1/2016 11:51,4/1/2016 11:59,70319,479,1038,Boulevard of the Allies & Parkview Ave,1040,Bigelow Blvd & Fifth Ave,
15977123,4/1/2016 11:51,4/1/2016 12:11,70471,1236,1037,Frew St & Schenley Dr,1037,Frew St & Schenley Dr,
15977403,4/1/2016 12:00,4/1/2016 12:17,70163,1013,1035,Fifth Ave & S Dithridge St,1044,Zulema St & Coltart Ave,
15977543,4/1/2016 12:04,4/1/2016 12:22,70499,1101,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1019,42nd St & Butler St,
15977565,4/1/2016 12:05,4/1/2016 14:42,70185,9466,1039,Atwood St & Bates St,1039,Atwood St & Bates St,
15977596,4/1/2016 12:06,4/1/2016 12:55,70329,2933,1050,Healthy Ride Hub,1050,Healthy Ride Hub,
15977839,4/1/2016 12:13,4/1/2016 12:15,70297,167,1015,Federal St & E North Ave,1015,Federal St & E North Ave,
15977920,4/1/2016 12:15,4/1/2016 12:26,70154,635,1043,Coltart Ave & Forbes Ave,1034,Ellsworth Ave & N Neville St,
15978142,4/1/2016 12:23,4/1/2016 13:09,70020,2766,1002,Third Ave & Wood St,1045,S 27th St & Sidney St. (Southside Works),
15978182,4/1/2016 12:24,4/1/2016 13:09,70057,2711,1002,Third Ave & Wood St,1045,S 27th St & Sidney St. (Southside Works),
15978543,4/1/2016 12:37,4/1/2016 12:43,70378,380,1037,Frew St & Schenley Dr,1034,Ellsworth Ave & N Neville St,
15978774,4/1/2016 12:46,4/1/2016 13:21,70425,2109,1025,Penn Ave & N Fairmount St,1025,Penn Ave & N Fairmount St,
15978909,4/1/2016 12:52,4/1/2016 13:02,70351,623,1001,Forbes Ave & Market Square,1009,12th St & Penn Ave,
15978951,4/1/2016 12:54,4/1/2016 13:02,70147,517,1021,Taylor St & Liberty Ave,1023,Liberty Ave & Baum Blvd,
15979127,4/1/2016 12:59,4/1/2016 14:02,70143,3765,1049,S 12th St & E Carson St,1045,S 27th St & Sidney St. (Southside Works),
15979235,4/1/2016 13:04,4/1/2016 14:01,70076,3446,1045,S 27th St & Sidney St. (Southside Works),1013,Isabella St & Federal St (PNC Park),
15979261,4/1/2016 13:05,4/1/2016 14:01,70222,3392,1045,S 27th St & Sidney St. (Southside Works),1013,Isabella St & Federal St (PNC Park),
15979360,4/1/2016 13:09,4/1/2016 14:46,70215,5825,1000,Liberty Ave & Stanwix St,1017,21st St & Penn Ave,
15979376,4/1/2016 13:09,4/1/2016 13:51,70132,2543,1004,First Ave & B St (T Station),1004,First Ave & B St (T Station),
15979422,4/1/2016 13:11,4/1/2016 14:46,70144,5722,1000,Liberty Ave & Stanwix St,1017,21st St & Penn Ave,
15979484,4/1/2016 13:12,4/1/2016 14:53,70027,6050,1040,Bigelow Blvd & Fifth Ave,1040,Bigelow Blvd & Fifth Ave,
15979496,4/1/2016 13:13,4/1/2016 14:56,70129,6174,1040,Bigelow Blvd & Fifth Ave,1040,Bigelow Blvd & Fifth Ave,
15979586,4/1/2016 13:16,4/1/2016 14:54,70396,5848,1040,Bigelow Blvd & Fifth Ave,1040,Bigelow Blvd & Fifth Ave,
15979777,4/1/2016 13:23,4/1/2016 14:56,70319,5578,1040,Bigelow Blvd & Fifth Ave,1040,Bigelow Blvd & Fifth Ave,
15980028,4/1/2016 13:35,4/1/2016 14:06,70053,1867,1017,21st St & Penn Ave,1049,S 12th St & E Carson St,
15980229,4/1/2016 13:45,4/1/2016 14:20,70278,2108,1045,S 27th St & Sidney St. (Southside Works),1003,First Ave & Smithfield St (Art Institute),
15980235,4/1/2016 13:45,4/1/2016 14:20,70376,2085,1045,S 27th St & Sidney St. (Southside Works),1003,First Ave & Smithfield St (Art Institute),
15980276,4/1/2016 13:46,4/1/2016 14:29,70094,2569,1047,S 22nd St & E Carson St,1001,Forbes Ave & Market Square,
15980313,4/1/2016 13:48,4/1/2016 14:03,70270,900,1040,Bigelow Blvd & Fifth Ave,1021,Taylor St & Liberty Ave,
15980628,4/1/2016 14:03,4/1/2016 14:22,70070,1161,1047,S 22nd St & E Carson St,1002,Third Ave & Wood St,
15980649,4/1/2016 14:04,4/1/2016 14:33,70412,1718,1035,Fifth Ave & S Dithridge St,1024,S Negley Ave & Baum Blvd,
15980754,4/1/2016 14:09,4/1/2016 14:50,70265,2489,1037,Frew St & Schenley Dr,1049,S 12th St & E Carson St,
15980759,4/1/2016 14:10,4/1/2016 14:50,70463,2451,1037,Frew St & Schenley Dr,1049,S 12th St & E Carson St,
15980978,4/1/2016 14:21,4/1/2016 14:38,70385,1019,1007,Stevenson St & Forbes Ave,1040,Bigelow Blvd & Fifth Ave,
15981064,4/1/2016 14:26,4/1/2016 14:51,70418,1493,1048,S 18th St & Sidney St,1041,Fifth Ave & S Bouquet St,
15981078,4/1/2016 14:26,4/1/2016 15:30,70377,3800,1001,Forbes Ave & Market Square,1013,Isabella St & Federal St (PNC Park),
15981099,4/1/2016 14:28,4/1/2016 14:40,70042,748,1014,Ridge Ave & Brighton Rd (CCAC),1000,Liberty Ave & Stanwix St,
15981289,4/1/2016 14:40,4/1/2016 15:00,70085,1214,1019,42nd St & Butler St,1017,21st St & Penn Ave,
15981360,4/1/2016 14:44,4/1/2016 15:32,70497,2908,1013,Isabella St & Federal St (PNC Park),1045,S 27th St & Sidney St. (Southside Works),
15981367,4/1/2016 14:44,4/1/2016 15:32,70076,2870,1013,Isabella St & Federal St (PNC Park),1045,S 27th St & Sidney St. (Southside Works),
15981619,4/1/2016 15:00,4/1/2016 15:04,70437,212,1050,Healthy Ride Hub,1018,37th St & Butler St,
15981646,4/1/2016 15:02,4/1/2016 15:49,70238,2777,1012,North Shore Trail & Fort Duquesne Bridge,1012,North Shore Trail & Fort Duquesne Bridge,
15981682,4/1/2016 15:05,4/1/2016 15:49,70056,2603,1012,North Shore Trail & Fort Duquesne Bridge,1012,North Shore Trail & Fort Duquesne Bridge,
15981713,4/1/2016 15:07,4/1/2016 15:13,70361,394,1025,Penn Ave & N Fairmount St,1023,Liberty Ave & Baum Blvd,
15981716,4/1/2016 15:07,4/1/2016 15:18,70039,690,1039,Atwood St & Bates St,1045,S 27th St & Sidney St. (Southside Works),
15981787,4/1/2016 15:12,4/1/2016 15:46,70403,2072,1001,Forbes Ave & Market Square,1047,S 22nd St & E Carson St,
15981813,4/1/2016 15:13,4/2/2016 9:29,70437,65758,1018,37th St & Butler St,1050,Healthy Ride Hub,
15981830,4/1/2016 15:14,4/1/2016 15:24,70221,590,1007,Stevenson St & Forbes Ave,1049,S 12th St & E Carson St,
15981981,4/1/2016 15:25,4/1/2016 16:59,70344,5614,1046,S 25th St & E Carson St,1046,S 25th St & E Carson St,
15981995,4/1/2016 15:26,4/1/2016 15:39,70334,757,1045,S 27th St & Sidney St. (Southside Works),1049,S 12th St & E Carson St,
15981996,4/1/2016 15:26,4/1/2016 16:58,70149,5526,1046,S 25th St & E Carson St,1046,S 25th St & E Carson St,
15982031,4/1/2016 15:29,4/1/2016 16:51,70302,4896,1004,First Ave & B St (T Station),1004,First Ave & B St (T Station),
15982034,4/1/2016 15:29,4/1/2016 16:08,70154,2319,1034,Ellsworth Ave & N Neville St,1045,S 27th St & Sidney St. (Southside Works),
15982038,4/1/2016 15:29,4/1/2016 16:07,70378,2285,1034,Ellsworth Ave & N Neville St,1045,S 27th St & Sidney St. (Southside Works),
15982044,4/1/2016 15:30,4/1/2016 16:52,70303,4950,1004,First Ave & B St (T Station),1004,First Ave & B St (T Station),
15982050,4/1/2016 15:30,4/1/2016 15:55,70360,1472,1012,North Shore Trail & Fort Duquesne Bridge,1012,North Shore Trail & Fort Duquesne Bridge,
15982054,4/1/2016 15:30,4/1/2016 16:42,70295,4332,1004,First Ave & B St (T Station),1004,First Ave & B St (T Station),
15982118,4/1/2016 15:37,4/1/2016 16:18,70463,2457,1049,S 12th St & E Carson St,1001,Forbes Ave & Market Square,
15982129,4/1/2016 15:37,4/1/2016 16:18,70265,2429,1049,S 12th St & E Carson St,1001,Forbes Ave & Market Square,
15982268,4/1/2016 15:48,4/1/2016 15:55,70314,442,1023,Liberty Ave & Baum Blvd,1023,Liberty Ave & Baum Blvd,
15982319,4/1/2016 15:54,4/1/2016 16:05,70166,642,1017,21st St & Penn Ave,1018,37th St & Butler St,
15982323,4/1/2016 15:54,4/1/2016 16:05,70274,620,1017,21st St & Penn Ave,1018,37th St & Butler St,
15982343,4/1/2016 15:57,4/1/2016 16:16,70319,1176,1040,Bigelow Blvd & Fifth Ave,1029,Alder St & S Highland Ave,
15982371,4/1/2016 16:00,4/1/2016 16:09,70083,573,1006,Ross St & Sixth Ave (Steel Plaza T Station),1006,Ross St & Sixth Ave (Steel Plaza T Station),
15982461,4/1/2016 16:08,4/1/2016 16:17,70186,525,1000,Liberty Ave & Stanwix St,1012,North Shore Trail & Fort Duquesne Bridge,
15982536,4/1/2016 16:15,4/1/2016 16:38,70453,1397,1008,Centre Ave & PPG Paints Arena,1019,42nd St & Butler St,
15982625,4/1/2016 16:24,4/1/2016 17:13,70468,2928,1008,Centre Ave & PPG Paints Arena,1000,Liberty Ave & Stanwix St,
15982635,4/1/2016 16:24,4/1/2016 17:13,70253,2890,1008,Centre Ave & PPG Paints Arena,1000,Liberty Ave & Stanwix St,
15982640,4/1/2016 16:25,4/1/2016 17:12,70158,2844,1008,Centre Ave & PPG Paints Arena,1000,Liberty Ave & Stanwix St,
15982658,4/1/2016 16:26,4/1/2016 16:32,70427,357,1028,Penn Ave & Putnam St (Bakery Square),1029,Alder St & S Highland Ave,
15982659,4/1/2016 16:26,4/1/2016 16:32,70125,355,1028,Penn Ave & Putnam St (Bakery Square),1029,Alder St & S Highland Ave,
15982706,4/1/2016 16:30,4/1/2016 16:44,70101,819,1005,Forbes Ave & Grant St,1045,S 27th St & Sidney St. (Southside Works),
15982734,4/1/2016 16:33,4/1/2016 18:03,70154,5440,1045,S 27th St & Sidney St. (Southside Works),1045,S 27th St & Sidney St. (Southside Works),
15982741,4/1/2016 16:33,4/1/2016 18:03,70143,5400,1045,S 27th St & Sidney St. (Southside Works),1045,S 27th St & Sidney St. (Southside Works),
15982758,4/1/2016 16:35,4/1/2016 16:53,70367,1103,1038,Boulevard of the Allies & Parkview Ave,1022,Liberty Ave & S Millvale Ave (West Penn Hospital),
15982844,4/1/2016 16:41,4/1/2016 16:55,70136,830,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1015,Federal St & E North Ave,
15982865,4/1/2016 16:42,4/2/2016 15:02,70009,80385,1001,Forbes Ave & Market Square,1021,Taylor St & Liberty Ave,
15982869,4/1/2016 16:43,4/1/2016 16:51,70002,494,1000,Liberty Ave & Stanwix St,1016,17th St & Penn Ave,
15982903,4/1/2016 16:47,4/1/2016 17:31,70441,2655,1044,Zulema St & Coltart Ave,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),
15982918,4/1/2016 16:48,4/1/2016 17:08,70018,1213,1001,Forbes Ave & Market Square,1018,37th St & Butler St,
15982931,4/1/2016 16:50,4/1/2016 16:55,70281,356,1048,S 18th St & Sidney St,1045,S 27th St & Sidney St. (Southside Works),
15982937,4/1/2016 16:50,4/1/2016 17:33,70401,2572,1044,Zulema St & Coltart Ave,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),
15982949,4/1/2016 16:51,4/1/2016 17:33,70258,2473,1044,Zulema St & Coltart Ave,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),
