"date","close","volume","open","high","low"

"2018/03/16","28.4100","125084.0000","28.3500","28.5700","28.2100"
"2018/03/15","28.2900","237656.0000","28.3000","28.5400","28.0800"
"2018/03/14","28.3300","108618.0000","28.0800","28.4600","28.0100"
"2018/03/13","28.0100","108562.0000","28.3400","28.4900","27.9400"
"2018/03/12","28.2900","99621.0000","28.2900","28.4200","28.1200"
"2018/03/09","28.1000","149735.0000","28.1200","28.2650","28.0100"
"2018/03/08","28.0000","62476.0000","28.0200","28.1600","27.8700"
"2018/03/07","27.9700","57255.0000","27.9200","28.0500","27.7973"
"2018/03/06","28.0500","88951.0000","27.6700","28.1300","27.4500"
"2018/03/05","27.6900","90590.0000","27.8500","28.0400","27.5100"
"2018/03/02","27.8500","149200.0000","27.4100","28.1500","27.4100"
"2018/03/01","27.5600","184401.0000","27.1500","27.6400","27.1400"
"2018/02/28","27.2200","61670.0000","27.6500","27.7200","27.2100"
"2018/02/27","27.5700","70269.0000","27.9200","28.0300","27.5100"
"2018/02/26","27.8100","96557.0000","27.8000","27.8700","27.5500"
"2018/02/23","27.5100","47316.0000","27.3700","27.6200","27.2600"
"2018/02/22","27.3200","69326.0000","27.3900","27.5600","27.0800"
"2018/02/21","27.3500","51357.0000","27.5700","27.8250","27.3200"
"2018/02/20","27.5900","113583.0000","27.4900","27.7600","27.3100"
"2018/02/16","27.6400","211522.0000","26.4900","27.9000","26.4800"
"2018/02/15","26.2500","144455.0000","25.6200","26.5000","25.6200"
"2018/02/14","25.4300","81419.0000","25.3100","25.6800","25.3000"
"2018/02/13","25.5200","71128.0000","25.4600","25.8000","25.2600"
"2018/02/12","25.5500","75770.0000","25.6900","25.7700","25.3300"
"2018/02/09","25.7700","107429.0000","25.9600","25.9600","25.3000"
"2018/02/08","25.8400","84742.0000","26.3200","26.3200","25.8000"
"2018/02/07","26.2500","125635.0000","25.7600","26.3500","25.5500"
"2018/02/06","25.8600","169028.0000","25.2700","26.0550","25.1500"
"2018/02/05","25.6000","207844.0000","26.2300","26.5800","25.4800"
"2018/02/02","26.2900","81654.0000","26.4500","26.6000","26.1900"
"2018/02/01","26.4700","113076.0000","26.5100","26.7000","26.0800"
"2018/01/31","26.6300","316582.0000","26.8900","27.0000","26.2400"
"2018/01/30","26.8300","125732.0000","26.6900","26.9100","26.6600"
"2018/01/29","26.7600","435514.0000","27.0000","27.0100","26.7600"
"2018/01/26","26.9900","73622.0000","27.1000","27.6700","26.6150"
"2018/01/25","26.9800","191058.0000","27.1600","27.2500","26.7300"
"2018/01/24","27.1100","167889.0000","26.7700","27.2300","26.5600"
"2018/01/23","26.6100","53793.0000","26.3700","26.6500","25.9500"
"2018/01/22","26.3500","87045.0000","26.0800","26.3900","25.7850"
"2018/01/19","26.1100","175857.0000","26.0800","26.4800","25.7100"
"2018/01/18","26.1100","159672.0000","26.4500","26.5000","25.9700"
"2018/01/17","26.4400","162984.0000","26.8600","26.8600","26.1400"
"2018/01/16","26.7300","88923.0000","26.6600","27.1400","26.6500"
"2018/01/12","26.6000","135009.0000","26.4100","26.6000","26.3400"
"2018/01/11","26.4100","83223.0000","26.2200","26.5600","26.2200"
"2018/01/10","26.2200","98082.0000","26.0500","26.3200","26.0139"
"2018/01/09","26.1500","76438.0000","26.8000","26.8000","26.1100"
"2018/01/08","26.7100","110632.0000","26.4200","26.8100","26.2800"
"2018/01/05","26.4200","70084.0000","26.5200","26.6700","26.2700"
"2018/01/04","26.4600","130796.0000","26.4000","26.7100","26.2697"
"2018/01/03","26.2100","119481.0000","25.9600","26.3100","25.6400"
"2018/01/02","25.9600","105348.0000","25.7200","25.9800","25.5650"
"2017/12/29","25.7100","57700.0000","26.1300","26.1300","25.6900"
"2017/12/28","26.0800","61484.0000","25.6900","26.1700","25.6900"
"2017/12/27","25.6800","45098.0000","25.5900","25.8000","25.5900"
"2017/12/26","25.6500","39907.0000","25.7700","25.8400","25.6000"
"2017/12/22","25.7500","81357.0000","26.0700","26.1200","25.5300"
"2017/12/21","25.9000","91325.0000","26.1200","26.1200","25.8800"
"2017/12/20","26.0100","75250.0000","26.3500","26.3500","25.9000"
"2017/12/19","26.2700","125861.0000","26.3200","26.5000","26.1800"
"2017/12/18","26.2300","107452.0000","26.3800","26.4700","26.1400"
