Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
10676972,5/31/2015 6:54,5/31/2015 10:17,70166,12190,1018,37th St & Butler St,1001,Forbes Ave & Market Square,
10677086,5/31/2015 6:57,5/31/2015 9:24,70368,8842,1018,37th St & Butler St,1018,37th St & Butler St,
10677131,5/31/2015 6:58,5/31/2015 10:09,70354,11448,1019,42nd St & Butler St,1019,42nd St & Butler St,
10677525,5/31/2015 7:08,5/31/2015 7:15,70232,452,1001,Forbes Ave & Market Square,1001,Forbes Ave & Market Square,
10677886,5/31/2015 7:15,5/31/2015 9:27,70468,7866,1018,37th St & Butler St,1018,37th St & Butler St,
10677899,5/31/2015 7:16,5/31/2015 7:25,70386,539,1001,Forbes Ave & Market Square,1001,Forbes Ave & Market Square,
10677979,5/31/2015 7:18,5/31/2015 11:53,70259,16524,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1010,10th St & Penn Ave (David L. Lawrence Convention Center),
10677999,5/31/2015 7:18,5/31/2015 7:52,70381,2018,1019,42nd St & Butler St,1001,Forbes Ave & Market Square,
10678088,5/31/2015 7:20,5/31/2015 10:34,70124,11613,1019,42nd St & Butler St,1001,Forbes Ave & Market Square,
10678335,5/31/2015 7:25,5/31/2015 7:57,70331,1900,1005,Forbes Ave & Grant St,1000,Liberty Ave & Stanwix St,
10678339,5/31/2015 7:25,5/31/2015 12:08,70180,16948,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,
10678341,5/31/2015 7:25,5/31/2015 9:35,70289,7810,1018,37th St & Butler St,1018,37th St & Butler St,
10678391,5/31/2015 7:26,5/31/2015 12:09,70083,16953,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,
10678454,5/31/2015 7:28,5/31/2015 9:50,70427,8567,1019,42nd St & Butler St,1018,37th St & Butler St,
10678479,5/31/2015 7:28,5/31/2015 9:50,70406,8506,1019,42nd St & Butler St,1018,37th St & Butler St,
10678500,5/31/2015 7:29,5/31/2015 10:05,70221,9381,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,
10678628,5/31/2015 7:32,5/31/2015 9:31,70101,7180,1019,42nd St & Butler St,1019,42nd St & Butler St,
10678770,5/31/2015 7:35,5/31/2015 9:32,70018,7033,1019,42nd St & Butler St,1019,42nd St & Butler St,
10678789,5/31/2015 7:35,5/31/2015 11:23,70033,13638,1001,Forbes Ave & Market Square,1001,Forbes Ave & Market Square,
10678840,5/31/2015 7:37,5/31/2015 11:23,70386,13577,1001,Forbes Ave & Market Square,1001,Forbes Ave & Market Square,
10678876,5/31/2015 7:37,5/31/2015 9:29,70266,6704,1001,Forbes Ave & Market Square,1001,Forbes Ave & Market Square,
10678903,5/31/2015 7:38,5/31/2015 11:37,70109,14321,1001,Forbes Ave & Market Square,1001,Forbes Ave & Market Square,
10678926,5/31/2015 7:39,5/31/2015 10:14,70303,9308,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1010,10th St & Penn Ave (David L. Lawrence Convention Center),
10678979,5/31/2015 7:40,5/31/2015 9:23,70093,6215,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1010,10th St & Penn Ave (David L. Lawrence Convention Center),
10679027,5/31/2015 7:41,5/31/2015 9:38,70326,7047,1018,37th St & Butler St,1018,37th St & Butler St,
10679099,5/31/2015 7:43,5/31/2015 7:49,70400,391,1001,Forbes Ave & Market Square,1001,Forbes Ave & Market Square,
10679100,5/31/2015 7:43,5/31/2015 11:46,70045,14580,1001,Forbes Ave & Market Square,1001,Forbes Ave & Market Square,
10679116,5/31/2015 7:43,5/31/2015 20:12,70150,44935,1050,Healthy Ride Hub,1050,Healthy Ride Hub,
10679159,5/31/2015 7:44,5/31/2015 12:28,70008,17014,1001,Forbes Ave & Market Square,1001,Forbes Ave & Market Square,
10679201,5/31/2015 7:45,5/31/2015 9:02,70054,4625,1017,21st St & Penn Ave,1017,21st St & Penn Ave,
10679231,5/31/2015 7:46,5/31/2015 10:10,70270,8658,1004,First Ave & B St (T Station),1004,First Ave & B St (T Station),
10679278,5/31/2015 7:46,5/31/2015 9:01,70148,4448,1017,21st St & Penn Ave,1017,21st St & Penn Ave,
10679342,5/31/2015 7:48,5/31/2015 10:29,70338,9637,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1000,Liberty Ave & Stanwix St,
10679377,5/31/2015 7:49,5/31/2015 10:25,70297,9341,1009,12th St & Penn Ave,1017,21st St & Penn Ave,
